rank,prev_rank,name,league,off,def,spi
388,429,Gamba Osaka,Japanese J League,1.12,1.63,34.5
389,418,Emmen,Dutch Eredivisie,1.24,1.78,34.47
390,383,DC United,Major League Soccer,1.13,1.64,34.45
391,370,Servette,Swiss Raiffeisen Super League,1.03,1.51,34.32
392,375,Barnsley,English League Championship,1.05,1.54,34.15
393,390,KV Oostende,Belgian Jupiler League,1.09,1.61,34.13
394,363,VVV Venlo,Dutch Eredivisie,1.24,1.8,34.06
395,403,Ankaragucu,Turkish Turkcell Super Lig,1.03,1.53,33.96
396,398,Newcastle Jets,Australian A-League,1.26,1.84,33.78
397,408,Chievo Verona,Italy Serie B,1.06,1.59,33.62
398,407,Orlando City SC,Major League Soccer,1.15,1.71,33.6
399,402,Orlando Pirates,South African ABSA Premier League,1.05,1.58,33.58
400,400,1. FC Heidenheim 1846,German 2. Bundesliga,1.09,1.64,33.54
401,396,Aldosivi,Argentina Primera Division,0.88,1.37,33.44
402,405,Tianjin Quanujian,Chinese Super League,1.1,1.65,33.42
403,388,Asteras Tripolis,Greek Super League,0.88,1.37,33.3
404,364,Consadole Sapporo,Japanese J League,1.15,1.73,33.24
405,428,SV Mattersburg,Austrian T-Mobile Bundesliga,1.17,1.77,33.1
406,437,Las Palmas,Spanish Segunda Division,0.95,1.48,33.03
407,401,Benevento,Italy Serie B,0.99,1.53,33.0
408,406,Kristiansund BK,Norwegian Tippeligaen,1.04,1.61,32.9
409,387,Caen,French Ligue 2,0.96,1.51,32.85
410,439,Crotone,Italy Serie B,0.96,1.5,32.83
411,412,Esbjerg,Danish SAS-Ligaen,0.99,1.55,32.69
412,410,VfL Bochum,German 2. Bundesliga,1.18,1.8,32.66
413,413,SK Brann,Norwegian Tippeligaen,0.91,1.44,32.61
414,430,Neuchatel Xamax,Swiss Raiffeisen Super League,1.06,1.64,32.61
415,416,Auxerre,French Ligue 2,0.95,1.51,32.52
416,399,Godoy Cruz,Argentina Primera Division,0.94,1.49,32.42
417,421,FC Juárez,Mexican Primera Division Torneo Apertura,0.91,1.46,32.39
418,427,FC St. Pauli,German 2. Bundesliga,1.11,1.73,32.37
419,417,Shenzhen FC,Chinese Super League,0.97,1.55,32.35
420,435,Tenerife,Spanish Segunda Division,0.95,1.53,32.05
421,442,Oxford United,English League One,1.15,1.79,32.01
422,409,SV Sandhausen,German 2. Bundesliga,1.04,1.66,31.94
423,377,Denizlispor,Turkish Turkcell Super Lig,0.95,1.55,31.78
424,422,Nagoya Grampus Eight,Japanese J League,1.2,1.88,31.75
425,438,FC Xanthi,Greek Super League,0.92,1.5,31.75
426,415,Hobro IK,Danish SAS-Ligaen,0.98,1.59,31.65
427,395,Thun,Swiss Raiffeisen Super League,1.1,1.76,31.62
428,488,Sochaux,French Ligue 2,0.81,1.36,31.59
429,420,Genclerbirligi,Turkish Turkcell Super Lig,1.04,1.68,31.46
430,426,Albacete,Spanish Segunda Division,0.82,1.38,31.43
431,425,Melbourne Victory,Australian A-League,1.15,1.84,31.32
432,411,Tampa Bay Rowdies,United Soccer League,1.07,1.74,31.05
433,431,Fuenlabrada,Spanish Segunda Division,0.93,1.56,31.01
434,443,Nashville SC,United Soccer League,0.9,1.52,30.97
435,419,VfL Osnabruck,German 2. Bundesliga,0.96,1.6,30.95
436,432,Lamia,Greek Super League,0.83,1.43,30.87
437,457,Viking FK,Norwegian Tippeligaen,1.14,1.86,30.82
438,447,Haugesund,Norwegian Tippeligaen,0.96,1.61,30.81
439,467,Pittsburgh Riverhounds,United Soccer League,0.97,1.62,30.79
440,477,Extremadura UD,Spanish Segunda Division,0.75,1.31,30.79
441,423,New York Red Bulls II,United Soccer League,1.33,2.12,30.61
442,424,Dynamo Dresden,German 2. Bundesliga,1.01,1.7,30.56
443,441,Montreal Impact,Major League Soccer,1.09,1.81,30.51
444,393,Clermont Foot,French Ligue 2,0.92,1.58,30.42
445,450,Numancia,Spanish Segunda Division,0.81,1.42,30.36
446,454,Kaizer Chiefs,South African ABSA Premier League,0.79,1.4,30.35
447,444,Lobos de la BUAP,Mexican Primera Division Torneo Clausura,0.98,1.67,30.3
448,440,Racing Santander,Spanish Segunda Division,0.87,1.52,30.28
449,436,Perugia,Italy Serie B,0.93,1.6,30.26
450,453,Waasland-Beveren,Belgian Jupiler League,1.04,1.77,30.02
451,456,Motherwell,Scottish Premiership,1.07,1.81,29.94
452,448,Frosinone,Italy Serie B,0.99,1.7,29.83
453,464,AS Nancy Lorraine,French Ligue 2,0.92,1.62,29.78
454,433,Elche,Spanish Segunda Division,0.88,1.56,29.74
455,452,Urawa Red Diamonds,Japanese J League,1.05,1.8,29.64
456,449,Karlsruher SC,German 2. Bundesliga,1.01,1.77,29.34
457,459,Adelaide United,Australian A-League,0.93,1.66,29.25
458,466,SV Darmstadt 98,German 2. Bundesliga,0.94,1.67,29.23
459,458,Peterborough United,English League One,1.09,1.88,29.17
460,475,Real Oviedo,Spanish Segunda Division,0.89,1.62,29.05
461,500,Shimizu S-Pulse,Japanese J League,1.19,2.06,28.7
462,446,Vegalta Sendai,Japanese J League,0.96,1.72,28.69
463,478,Erzgebirge Aue,German 2. Bundesliga,0.96,1.74,28.54
464,434,SD Ponferradina,Spanish Segunda Division,0.91,1.67,28.53
465,451,Reno 1868 FC,United Soccer League,1.23,2.12,28.53
466,461,Valerenga,Norwegian Tippeligaen,1.09,1.94,28.35
467,468,Black Aces,South African ABSA Premier League,1.0,1.81,28.26
468,445,SpVgg Greuther Fürth,German 2. Bundesliga,0.93,1.72,28.09
469,495,Grenoble,French Ligue 2,0.87,1.64,28.07
470,482,Hibernian,Scottish Premiership,0.92,1.71,28.02
471,455,Oita Trinita,Japanese J League,0.74,1.45,27.97
472,481,Cittadella,Italy Serie B,0.86,1.64,27.84
473,463,Volos NFC,Greek Super League,0.9,1.7,27.8
474,485,Eupen,Belgian Jupiler League,0.97,1.8,27.73
475,473,Hearts,Scottish Premiership,0.91,1.72,27.61
476,479,Western Sydney FC,Australian A-League,1.14,2.05,27.57
477,497,Orléans,French Ligue 2,0.89,1.7,27.46
478,493,Lyngby,Danish SAS-Ligaen,0.91,1.74,27.41
479,465,Orebro SK,Swedish Allsvenskan,1.05,1.94,27.41
480,483,Louisville City FC,United Soccer League,0.95,1.8,27.31
481,469,Panionios,Greek Super League,0.8,1.6,26.87
482,474,Cercle Brugge,Belgian Jupiler League,1.05,1.97,26.77
483,462,Lugo,Spanish Segunda Division,0.82,1.64,26.74
484,470,Spezia,Italy Serie B,0.91,1.78,26.51
485,487,Portsmouth,English League One,0.9,1.78,26.26
486,504,SV Wehen Wiesbaden,German 2. Bundesliga,0.98,1.92,26.25
487,491,Guizhou Renhe,Chinese Super League,0.89,1.79,26.2
488,484,Panetolikos,Greek Super League,0.85,1.72,26.19
489,490,Fortuna Sittard,Dutch Eredivisie,1.14,2.14,26.16
490,471,RKC,Dutch Eredivisie,1.08,2.05,26.16
491,492,Stabaek,Norwegian Tippeligaen,0.88,1.78,26.09
492,489,Niort,French Ligue 2,0.71,1.51,26.08
493,506,AC Ajaccio,French Ligue 2,0.68,1.47,26.01
494,494,Burton Albion,English League One,0.87,1.76,25.97
495,460,Valenciennes,French Ligue 2,0.84,1.72,25.95
496,515,Sagan Tosu,Japanese J League,0.86,1.74,25.95
497,499,Mirandes,Spanish Segunda Division,0.88,1.79,25.81
498,501,IF Elfsborg,Swedish Allsvenskan,0.95,1.89,25.7
499,486,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.11,2.13,25.68
500,472,AD Alcorcon,Spanish Segunda Division,0.75,1.6,25.65
501,508,Paris FC,French Ligue 2,0.61,1.4,25.33
502,502,Doncaster Rovers,English League One,0.85,1.78,25.18
503,530,Fleetwood Town,English League One,0.88,1.84,25.06
504,516,North Carolina FC,United Soccer League,1.02,2.05,25.02
505,522,Vancouver Whitecaps,Major League Soccer,0.96,1.97,24.95
506,480,Rodez,French Ligue 2,0.86,1.82,24.72
507,476,Shonan Bellmare,Japanese J League,0.97,1.99,24.71
508,503,Coventry City,English League One,0.82,1.77,24.64
509,496,Fresno FC,United Soccer League,0.92,1.93,24.6
510,507,SuperSport United,South African ABSA Premier League,0.73,1.64,24.52
511,510,Ross County,Scottish Premiership,0.82,1.79,24.37
512,521,Real Monarchs SLC,United Soccer League,1.13,2.26,24.3
513,509,Wellington Phoenix,Australian A-League,1.07,2.17,24.27
514,498,St. Pölten,Austrian T-Mobile Bundesliga,0.85,1.84,24.27
515,525,Silkeborg,Danish SAS-Ligaen,1.04,2.13,24.26
516,536,Chateauroux,French Ligue 2,0.63,1.51,24.08
517,514,AC Horsens,Danish SAS-Ligaen,0.78,1.76,24.02
518,531,Highlands Park FC,South African ABSA Premier League,0.75,1.71,23.93
519,523,Lillestrom,Norwegian Tippeligaen,0.93,2.0,23.81
520,517,Milton Keynes Dons,English League One,0.86,1.9,23.8
521,519,Cremonese,Italy Serie B,0.69,1.62,23.77
522,529,Veracruz,Mexican Primera Division Torneo Apertura,0.84,1.86,23.75
523,505,Livingston,Scottish Premiership,0.86,1.89,23.74
524,512,Sarpsborg,Norwegian Tippeligaen,0.78,1.79,23.57
525,532,GIF Sundsvall,Swedish Allsvenskan,0.76,1.78,23.09
526,535,San Antonio FC,United Soccer League,1.03,2.2,23.06
527,526,Ascoli,Italy Serie B,0.77,1.8,22.89
528,520,Rotherham United,English League One,0.76,1.8,22.79
529,511,Orange County SC,United Soccer League,0.83,1.93,22.6
530,513,US Pescara,Italy Serie B,0.77,1.86,22.19
531,534,FC Cincinnati,Major League Soccer,0.87,2.02,22.16
532,524,Chambly Thelle FC,French Ligue 2,0.64,1.65,22.14
533,537,Salernitana,Italy Serie B,0.74,1.82,21.95
534,528,Bloem Celtic,South African ABSA Premier League,0.68,1.73,21.91
535,527,Sacramento Republic FC,United Soccer League,0.7,1.79,21.56
536,543,Blackpool,English League One,0.72,1.83,21.34
537,563,LA Galaxy II,United Soccer League,1.04,2.35,21.29
538,541,Östersunds FK,Swedish Allsvenskan,0.78,1.93,21.26
539,538,Le Mans,French Ligue 2,0.81,1.99,21.23
540,518,Indy Eleven,United Soccer League,0.62,1.68,21.16
541,546,Livorno,Italy Serie B,0.7,1.82,21.08
542,539,IK Sirius,Swedish Allsvenskan,0.86,2.08,20.97
543,547,Cosenza,Italy Serie B,0.61,1.69,20.83
544,550,Virtus Entella,Italy Serie B,0.66,1.79,20.59
545,545,Pisa,Italy Serie B,0.71,1.88,20.49
546,548,Stromsgodset,Norwegian Tippeligaen,0.83,2.09,20.42
547,544,Bradford City,English League Two,0.72,1.91,20.41
548,561,Wycombe Wanderers,English League One,0.69,1.86,20.4
549,552,Ranheim,Norwegian Tippeligaen,0.78,2.01,20.33
550,558,Helsingborgs IF,Swedish Allsvenskan,0.69,1.86,20.32
551,554,F.B.C Unione Venezia,Italy Serie B,0.63,1.76,20.22
552,553,Bristol Rovers,English League One,0.62,1.76,20.16
553,557,Austin Bold FC,United Soccer League,0.83,2.11,19.97
554,549,St Mirren,Scottish Premiership,0.61,1.76,19.9
555,542,Mjondalen,Norwegian Tippeligaen,0.81,2.1,19.72
556,540,Gillingham,English League One,0.72,1.95,19.68
557,533,Polokwane City FC,South African ABSA Premier League,0.57,1.71,19.46
558,560,New Mexico United,United Soccer League,0.93,2.33,19.39
559,551,St Johnstone,Scottish Premiership,0.63,1.84,19.32
